7zip	26.01
termux-core	0.4.0-1
termux-exec	1:2.4.0-1
termux-exec-glibc	1:1.0
termux-keyring	3.13
termux-licenses	2.1
termux-services	0.13-1
termux-tools	1.46.0+really1.45.0-1
termux-x11-nightly	1.03.01-5
tesseract	5.5.2
texlab	5.25.1
tmux	3.6b
tree	2.3.2
tsu	8.6.0-1
ttf-dejavu	2.37-8
tur-repo	1.0.1
unrar	7.2.6
unzip	6.0-10
upower	1.91.2
usbmuxd	1.1.1-p20250201-2
utf8cpp	1:4.1.1
util-linux	2.42.1
util-linux-glibc	2.40.2-1
vim	9.2.0650
vlc-qt	3.0.23-3
vulkan-icd	0.1
vulkan-loader	0.0.3
vulkan-loader-android	29
vulkan-loader-generic	1.4.354
vulkan-tools	1.4.354
wget	1.25.0-1
which	2.25
x11-repo	8.4-1
xcb-util	0.4.1-1
xcb-util-cursor	0.1.6
xcb-util-image	0.4.1-2
xcb-util-keysyms	0.4.1-1
xcb-util-renderutil	0.3.10-1
xcb-util-wm	0.4.2-1
xclip	0.13-2
xdg-desktop-portal	1.22.1
xdg-desktop-portal-kde	6.7.0
xdg-user-dirs	0.20
xdg-utils	1.2.1-1
xdotool	3.20211022.1-1
xkeyboard-config	2.47-1
xorg-setxkbmap	1.3.5
xorg-xauth	1.1.5
xorg-xdpyinfo	1.4.0
xorg-xmessage	1.0.7-1
xorg-xprop	1.2.8
xorg-xrandr	1.5.4
xorg-xrdb	1.2.2-1
xsettingsd	1.0.4
xvidcore	1.3.7-1
xxd	9.2.0650
xxhash	0.8.3-1
xz-utils	5.8.3
zlib	1.3.2
zlib-glibc	1.3.1
zstd	1.5.7-1
zstd-glibc	1.5.7
